nome,uf,lat,lon
Abadia de Goiás,GO,-16.7573,-49.4412
Abadia dos Dourados,MG,-18.4831,-47.3916
Abadiânia,GO,-16.197,-48.7057
Abaeté,MG,-19.1551,-45.4444
Abaetetuba,PA,-1.72183,-48.8788
Abaiara,CE,-7.34588,-39.0416
Abaíra,BA,-13.2488,-41.6619
Abaré,BA,-8.72073,-39.1162
Abatiá,PR,-23.3049,-50.3133
Abdon Batista,SC,-27.6126,-51.0233
Abel Figueiredo,PA,-4.95333,-48.3933
Abelardo Luz,SC,-26.5716,-52.3229
Abre Campo,MG,-20.2996,-42.4743
Abreu e Lima,PE,-7.90072,-34.8984
Abreulândia,TO,-9.62101,-49.1518
Acaiaca,MG,-20.359,-43.1439
Açailândia,MA,-4.94714,-47.5004
Acajutiba,BA,-11.6575,-38.0197
Acará,PA,-1.95383,-48.1985
Acarape,CE,-4.22083,-38.7055
Acaraú,CE,-2.88769,-40.1183
Acari,RN,-6.4282,-36.6347
Acauã,PI,-8.21954,-41.0831
Aceguá,RS,-31.8665,-54.1615
Acopiara,CE,-6.08911,-39.448
Acorizal,MT,-15.194,-56.3632
Acrelândia,AC,-9.82581,-66.8972
Acreúna,GO,-17.396,-50.3749
Açu,RN,-5.58362,-36.914
Açucena,MG,-19.0671,-42.5419
Adamantina,SP,-21.682,-51.0737
Adelândia,GO,-16.4127,-50.1657
Adolfo,SP,-21.2325,-49.6451
Adrianópolis,PR,-24.6606,-48.9922
Adustina,BA,-10.5437,-38.1113
Afogados da Ingazeira,PE,-7.74312,-37.631
Afonso Bezerra,RN,-5.49229,-36.5075
Afonso Cláudio,ES,-20.0778,-41.1261
Afonso Cunha,MA,-4.13631,-43.3275
Afrânio,PE,-8.51136,-41.0095
Afuá,PA,-0.154874,-50.3861
Agrestina,PE,-8.45966,-35.9447
Agricolândia,PI,-5.79676,-42.6664
Agrolândia,SC,-27.4087,-49.822
Agronômica,SC,-27.2662,-49.708
Água Azul do Norte,PA,-6.79053,-50.4791
Água Boa,MG,-17.9914,-42.3806
Água Boa,MT,-14.051,-52.1601
Água Branca,PI,-5.88856,-42.637
Água Branca,PB,-7.51144,-37.6357
Água Branca,AL,-9.262,-37.938
Água Clara,MS,-20.4452,-52.879
Água Comprida,MG,-20.0576,-48.1069
Água Doce,SC,-26.9985,-51.5528
Água Doce do Maranhão,MA,-2.84048,-42.1189
Água Doce do Norte,ES,-18.5482,-40.9854
Água Fria,BA,-11.8618,-38.7639
Água Fria de Goiás,GO,-14.9778,-47.7823
Água Limpa,GO,-18.0771,-48.7603
Água Nova,RN,-6.20351,-38.2941
Água Preta,PE,-8.70609,-35.5263
Água Santa,RS,-28.1672,-52.031
Aguaí,SP,-22.0572,-46.9735
Aguanil,MG,-20.9439,-45.3915
Águas Belas,PE,-9.11125,-37.1226
Águas da Prata,SP,-21.9319,-46.7176
Águas de Chapecó,SC,-27.0754,-52.9808
Águas de Lindóia,SP,-22.4733,-46.6314
Águas de Santa Bárbara,SP,-22.8812,-49.2421
Águas de São Pedro,SP,-22.5977,-47.8734
Águas Formosas,MG,-17.0802,-40.9384
Águas Frias,SC,-26.8794,-52.8568
Águas Lindas de Goiás,GO,-15.7617,-48.2816
