nome,pais,lat,lon
Buenos Aires,Argentina,-34.60,-58.38
Córdoba,Argentina,-31.42,-64.18
Rosario,Argentina,-32.95,-60.66
Mendoza,Argentina,-32.89,-68.84
Lima,Peru,-12.05,-77.04
Arequipa,Peru,-16.40,-71.53
Cusco,Peru,-13.53,-71.97
Trujillo,Peru,-8.11,-79.03
Bogotá,Colômbia,4.71,-74.07
Medellín,Colômbia,6.24,-75.58
Cali,Colômbia,3.45,-76.53
Barranquilla,Colômbia,10.97,-74.80
Santiago,Chile,-33.45,-70.67
Valparaíso,Chile,-33.05,-71.62
Montevideo,Uruguai,-34.90,-56.16
Montevidéu,Uruguai,-34.90,-56.16
Asunción,Paraguai,-25.28,-57.63
Assunção,Paraguai,-25.28,-57.63
La Paz,Bolívia,-16.49,-68.15
Cochabamba,Bolívia,-17.39,-66.16
Santa Cruz de la Sierra,Bolívia,-17.78,-63.18
Quito,Equador,-0.18,-78.47
Guayaquil,Equador,-2.19,-79.89
Caracas,Venezuela,10.48,-66.90
Maracaibo,Venezuela,10.65,-71.65
Cidade do México,México,19.43,-99.13
Ciudad de México,México,19.43,-99.13
Guadalajara,México,20.66,-103.35
Monterrey,México,25.69,-100.32
Cidade do Panamá,Panamá,8.98,-79.52
San José,Costa Rica,9.93,-84.08
Cidade da Guatemala,Guatemala,14.63,-90.51
San Salvador,El Salvador,13.69,-89.19
Tegucigalpa,Honduras,14.07,-87.19
Managua,Nicarágua,12.13,-86.25
Santo Domingo,República Dominicana,18.49,-69.89
Havana,Cuba,23.11,-82.37
Miami,Estados Unidos,25.76,-80.19
Orlando,Estados Unidos,28.54,-81.38
Nova York,Estados Unidos,40.71,-74.01
Lisboa,Portugal,38.72,-9.14
Porto,Portugal,41.15,-8.61
Madrid,Espanha,40.42,-3.70
Barcelona,Espanha,41.39,2.17
